Post Link	Date	Time	Message	Reactions	Comment	Shares	Clicks	Impressions	Engagement Rate %	Click Through Rate	Post id	Post Type	New Followers from posts
"HaystackAnalyticsJan 22, 06:23"	22-01-2026	06:23	"Are we losing our frontline antibiotics? Once a trusted first-line therapy, ciprofloxacin is now showing alarming resistance across major bacterial pathogens, as highlighted by a large clinical study from SMS Hospital Jaipur. This growing resistance reflects a deeper challenge, treating infections without timely, accurate pathogen identification. Antimicrobial Resistance (AMR) is no longer a future concern; it is a present clinical reality driven by empirical therapy, delayed diagnostics, and limited visibility into the true causative organism. The consequence is slower recovery, increased testing, and unpredictable treatment outcomes. This is where infexn® NGS adds critical clinical value. By enabling early, comprehensive pathogen detection along with antimicrobial resistance gene (ARG) insights, infexn® NGS supports evidence-based antibiotic selection, moving care away from assumptions toward precision-driven decisions. Abhimanyuu Nambisan Pranav Godse Rohan S SALVI Shuja A. siddharth sasane Gitesh Srivastava Anupama Pradeepkumar Namith N Mohammad Umair Vivek Singh Rathore masoom siddiqui Aqeeb Momin Gopal Singh Rijul Pulikkal Rohan S SALVI SMS HOSPITAL #AntimicrobialResistance #AMR #NGS #InfectiousDisease #ClinicalMicrobiology #HealthCare #PublicHealth"	21	0	3	406	909	47.3	44.66	113	Carousel	0
"HaystackAnalytics
Jan 22, 14:04"	22-01-2026	14:04	"Thank you for sharing a insightful perspective on the CME and the evolving role of NGS in infectious disease diagnostics. As infections become more complex, the need for comprehensive, evidence-based diagnostics has never been greater. NGS is not just a technological upgrade, but a meaningful shift towards precision, context-driven clinical decision-making, especially when timely diagnostic and targeted treatment becomes crucial. We truly appreciate voices like yours that are helping spread awareness and build deeper understanding of NGS in real-world clinical practice. Conversations like these are key to shaping the future of infectious disease diagnostics. #NGS #InfectiousDiseases #AMR #PrecisionDiagnostics #Genomics"	6	0	0	16	209	10.53	7.66	114	Static	0
"HaystackAnalyticsJan 24, 06:40"	24-01-2026	06:40	"Strengthening collaboration. Advancing diagnostics. Driving clinical impact. At Jeevan Mala Hospital, Delhi, we had an engaging knowledge exchange on “Acing Infectious Disease Diagnostics with NGS”, highlighting how next-generation sequencing is reshaping the way clinicians approach infectious diseases. Dr. Koyel Ghosh, Dr Ravi Gaur, and Dr. Nidhi G. shared clinical insights, on the evolving role of infexn® NGS in infectious disease management. The discussion focused on how comprehensive pathogen detection, precision diagnostics, and data-driven insights can support clinicians in making informed therapeutic decisions and improving patient outcomes. The session underscored the importance of adoption of advanced NGS based diagnostics and translating genomic insights into routine clinical practice. Abhimanyuu Nambisan Vivek Singh Rathore Mohammad Umair Gopal Singh masoom siddiqui #NGS #InfectiousDiseaseDiagnostics #ClinicalMicrobiology #PrecisionDiagnostics #infexn #HealthcareInnovation #CME"	21	0	0	189	983	21.36	19.23	115	Carousel	0
"HaystackAnalyticsJan 28, 12:23"	28-01-2026	12:23	"Infections don’t pause between decisions. Now, neither does diagnostic clarity. Introducing infexnCOVER, an unlimited genomic infection testing package, delivering continuous insights with zero decision latency from admission to discharge. Not just a test. A diagnostic safety net. Gaurav Srivastava Anirvan Chatterjee Dr Mahua Das Gupta (Kapoor) Amrutraj Zade Simone Jetha Abhimanyuu Nambisan Shuja A. Rohan S SALVI Pranav Godse siddharth sasane Gitesh Srivastava Anupama Pradeepkumar Namith N Vivek Singh Rathore Mohammad Umair Dr. Nidhi G. Gopal Singh Aqeeb Momin masoom siddiqui Rijul Pulikkal Raghu Raaj Koyel Ghosh Dr. Simran Malik Nithin K #InfectiousDiagnostics #ClinicalGenomics #NGSDiagnostics #PrecisionMedicine #Healthcare #PublicHealth"	19	0	4	201	677	33.09	29.69	116	Carousel	0
"HaystackAnalytics
Jan 28, 13:32"	28-01-2026	13:32	"When clinicians connect beyond physical boundaries, knowledge becomes actionable. An online exchange led by Dr. Simran Malik on orthopedic infections with clinicians at Mangal Anand Hospital, highlighted how infexn®-NGS is enabling deeper insights and more confident clinical decisions in complex cases. The session concluded with shared insights, emphasizing the need for advanced genomic solutions for infectious disease diagnostics and management. Abhimanyuu Nambisan Pranav Godse Rohan S SALVI siddharth sasane Shuja A. #ClinicalGenomics #NGSDiagnostics #InfectiousDiseases #HealthcareInnovation #PrecisionMedicine #MedicalInnovation #AMR #ClinicianCommunity"	14	0	3	23	379	10.55	6.07	117	Static	0
"HaystackAnalytics
Jan 28, 14:03"	28-01-2026	14:03	"Redefining how infections are detected begins with meaningful clinical conversations. At Round Table Meet with the Chembur Association of Surgeons, Dr. Simran Malik shared insights on how infexn®-NGS is transforming infectious disease diagnosis through precise and comprehensive pathogen detection. The discussion highlighted real-world challenges in infection management and the growing role of genomic diagnostics in enabling faster, more informed clinical decisions. Abhimanyuu Nambisan Pranav Godse Rohan S SALVI Shuja A. siddharth sasane #InfectiousDiagnostics #ClinicalGenomics #NGSDiagnostics # #Healthcare #PublicHealth #InfectiousDiseases #AMR"	5	0	2	15	322	6.83	4.66	118	Static	0
"HaystackAnalytics 
Jan 29, 11:51"	29-01-2026	11:51	"Not all metabolic disorders are evident at birth. Methylmalonic Acidemia (MMA) is a rare inherited metabolic disorder, affecting the breakdown of certain amino acids leading to accumulation of toxic compounds overtime effecting vital organs and functions. Clinical signs often emerge only after feeding begins, impacting metabolic imbalance further. Early genetic screening with DGx Pediatric Screening enables prompt diagnosis, timely intervention, and informed clinical management. Abhimanyuu Nambisan Pranav Godse Rohan S SALVI Shuja A. siddharth sasane Gitesh Srivastava Anupama Pradeepkumar Namith N Vivek Singh Rathore Mohammad Umair Gopal Singh masoom siddiqui Rijul Pulikkal Raghu Raaj #MMA #NewbornScreening #PublicHealth #InheritedMetabolicDisorders #GeneticTesting #HealthCare #PrecisionDiagnostics #identifi"	5	0	0	184	460	41.09	40	119	Carousel	0
"HaystackAnalytics
Jan 29, 12:32"	29-01-2026	12:32	"?? Just 2 days to go! Kickstart your career with HaystackAnalytics, India’s leading HealthTech innovator shaping the future of genomics & diagnostics. ?? Walk-In Interviews ?? 31st January 2026 (Saturday) ? 11:00 AM – 5:00 PM ?? Navi Mumbai, Maharashtra we Open Positions: • Management Trainee • Business Development Associate Why attend? ? Learn from the fast-growing world of genomics & diagnostics ? Hands-on exposure to real business & field sales ? On-ground interaction with doctors & clinicians ??Pre-register here: https://lnkd.in/dmx9xWnQ Walk in with your resume. Your journey into healthcare innovation starts here. ?? Ragina N. Vedant Mudaliar Ameyota De Nachiket Patil Abhimanyuu Nambisan Rohan S SALVI siddharth sasane Shuja A. Gitesh Srivastava Rijul Pulikkal Raghu Raaj Mohammad Umair Vivek Singh Rathore #HaystackAnalytics #WalkInInterviews #Diagnostics #HiringNow #SalesCareers #Genomics #JobOpportunities"	22	1	0	275	"4,850"	6.14	5.67	120	Static	0
"HaystackAnalytics
Jan 29, 13:00"	29-01-2026	13:00	"The Spanish Flu didn’t act alone. It was the unseen secondary infections that turned a viral outbreak into a global catastrophe. A century ago, millions died not just from the virus, but from bacterial pneumonia that followed lung damage, when treatment was guided by symptoms, not by the causative pathogen making clinical outcomes uncertain. Today, the story hasn’t changed, only the setting has. Overlapping infections, blurred symptoms, inflamed lungs, and delayed pathogen identification continue to shape clinical decisions, often leading to empirical treatment and missed co-infections. infexn®-NGS redefines this gap by delivering comprehensive detection of viruses, bacteria, and co-infections from a single sample, offering clarity before conditions escalate. Abhimanyuu Nambisan Pranav Godse Shuja A. Rohan S SALVI siddharth sasane Gitesh Srivastava Anupama Pradeepkumar Namith N Vivek Singh Rathore Mohammad Umair Dr. Nidhi G. Gopal Singh masoom siddiqui Aqeeb Momin Rijul Pulikkal Raghu Raaj #SpanishFlu #HealthCare #PublicHealth #InfectiousDiseases #Diagnostics #NGS #CoInfections #PublicHealth"	6	0	2	142	406	36.95	34.98	121	Carousel	0
"HaystackAnalytics 
Jan 30, 06:39"	30-01-2026	06:39	"Advancing infectious disease diagnostics with clinical-grade NGS. An insightful Round Table Meet at St.Stephen's Hospital - India, Delhi, facilitated by insightful discussions from Dr Koyel Ghosh and Dr SHAMIM AKHTAR, focusing on the growing role of Next-Generation Sequencing in infectious disease diagnostics. The discussion highlighted how infexn®-NGS and FLU-NGS leverage precision genomics to improve diagnostic accuracy and support informed clinical decision-making, with valuable perspectives shared on integrating NGS into routine infectious disease workflows. Abhimanyuu Nambisan Vivek Singh Rathore Mohammad Umair Dr. Nidhi G. Gopal Singh masoom siddiqui #NextGenerationSequencing #HealthCare #PublicHealth #InfectiousDiseases #PrecisionGenomics #ClinicalDiagnostics #HealthcareInnovation #MedicalScience"	4	0	0	55	388	15.21	14.18	122	Carousel	0
"HaystackAnalytics
Jan 30, 07:30"	30-01-2026	07:30	"? Just 1 day to go! Your opportunity to start a career in HealthTech is here. Walk-In Interviews for passionate, driven individuals ready to work at the intersection of healthcare & technology. ?? Open Positions: • Management Trainee • Business Development Associate ?? Event Details: ?? Saturday, 31st January 2026 ? 11:00 AM – 5:00 PM ?? Navi Mumbai, Maharashtra ?? Pre-register here: ?? https://lnkd.in/dmx9xWnQ Don’t miss it. Walk in tomorrow and take the first step towards healthcare innovation. ?? Ragina N. Vedant Mudaliar Nachiket Patil Ameyota De Sonali Kedar Abhimanyuu Nambisan Pranav Godse Shuja A. Rohan S SALVI Gitesh Srivastava Vivek Singh Rathore Mohammad Umair Raghu Raaj Rijul Pulikkal #HaystackAnalytics #WalkInInterviews #HiringNow #Genomics #Diagnostics #HealthcareInnovation #LifeSciences"	33	0	4	210	"4,360"	5.67	4.82	123	Static	0
"HaystackAnalytics
Jan 30, 08:45"	30-01-2026	08:45	"Elevating infectious disease diagnostics with NGS. A collaborative Round Table Meet at Jeevan Jyoti Clinic and Hospital, Delhi, fostering focused conversations on how Next-Generation Sequencing is transforming infectious disease diagnosis in clinical practice. The discussion, led by Dr Koyel Ghosh, Medical Science Liaison, HaystackAnalytics, showcased real-world insights on leveraging NGS for accurate detection and confident clinical decision-making. Abhimanyuu Nambisan Mohammad Umair Vivek Singh Rathore Inder Rawat masoom siddiqui Gopal Singh Dr. Nidhi G. #HealthcareInnovation #NGS #Diagnostics #InfectiousDisease #GenomicMedicine #ClinicalInsights"	6	0	0	17	434	5.3	3.92	124	Static	0
"HaystackAnalytics
Jan 30, 13:16"	30-01-2026	13:16	?? A small scratch. A big diagnostic blind spot. Swipe to read a real-world case where routine tests failed until infexn®- NGS revealed the truth. Abhimanyuu Nambisan Pranav Godse Rohan S SALVI Shuja A. siddharth sasane Gitesh Srivastava Anupama Pradeepkumar Namith N Vivek Singh Rathore Mohammad Umair Dr. Nidhi G. Gopal Singh masoom siddiqui Dr Koyel Ghosh Rijul Pulikkal Raghu Raaj Dr Koyel Ghosh Dr. Simran Malik #infexnNGS #CaseStudy #HealthCare #PublicHealth #NGS #InfectiousDiseases #PrecisionDiagnostics #Doctors #ClinicalImpact #HaystackAnalytics	10	0	2	264	599	46.08	44.07	125	Carousel	0
"HaystackAnalytics
Jan 30, 14:23"	30-01-2026	14:23	"Redefining respiratory infection diagnostics using FLU-NGS. An engaging Round Table Meet at Sundaram Medical Foundation Hospital, Chennai, where clinicians and doctors came together to discuss how Next-Generation Sequencing is reshaping respiratory infection diagnosis. The discussion highlighted how FLU-NGS enables precise pathogen detection and supports confident, data-driven clinical decisions. Abhimanyuu Nambisan sahul hameed p Raghu Raaj #HealthCare #Diagnostics #NGS #Genomics #RespiratoryInfections #ClinicalInsights"	7	0	1	7	307	4.89	2.28	126	Static	0
"HaystackAnalytics 
Feb 04, 12:03"	04-02-2026	12:03	"Metabolism plays a foundational role in early growth and development and when something goes wrong at this level, the effects can quietly begin in infancy. Rare inherited metabolic disorders like Tyrosinemia often remain under-recognized in their early stages, even though harmful biochemical changes may already be impacting vital organs. Without timely identification, these conditions can progress before clear clinical signs emerge. This is where early genetic insight becomes essential. Understanding the underlying cause helps enable accurate diagnosis, differentiation of subtypes, informed clinical management, and meaningful conversations with families about long-term care and screening. Abhimanyuu Nambisan Pranav Godse Rohan S SALVI Shuja A. siddharth sasane Gitesh Srivastava Anupama Pradeepkumar Namith N Vivek Singh Rathore Mohammad Umair Gopal Singh masoom siddiqui Rijul Pulikkal Raghu Raaj #PediatricGenetics #RareMetabolicDisorders #Tyrosinemia #EarlyDiagnosis #GeneticInsight #ChildHealth"	8	0	1	240	787	31.64	30.5	127	Carousel	0
"HaystackAnalytics
Feb 04, 12:32"	04-02-2026	12:32	"This year’s World Cancer Day theme, “United by Unique,” highlights the individuality of every cancer journey. While a diagnosis may carry the same name, each person’s experience is shaped by age, biology, and genetic makeup. These differences matter, influencing how cancer develops, how it is understood, and how it is treated. Recognizing the role of genomics and the value of early insight allows cancer care to move closer to the individual, supporting more informed decisions and more personalized paths forward. Abhimanyuu Nambisan Pranav Godse Rohan S SALVI Shuja A. Gitesh Srivastava Vivek Singh Rathore Mohammad Umair Rijul Pulikkal Raghu Raaj #WorldCancerDay #UnitedByUnique #CancerAwareness #Genomics #EarlyDiagnosis #PrecisionMedicine #PersonalizedCare"	4	0	1	8	368	3.53	2.17	128	Static	0
"HaystackAnalytics
Feb 04, 13:30"	04-02-2026	13:30	"For years, antibiotic resistance meant hospital wards and patients. Science is now telling a bigger story. Nature is starting to reflect the same pressure. And bees are helping us see it. Swipe to know more. Abhimanyuu Nambisan Pranav Godse Shuja A. Rohan S SALVI siddharth sasane Gitesh Srivastava Anupama Pradeepkumar Namith N Vivek Singh Rathore Mohammad Umair Gopal Singh Aqeeb Momin masoom siddiqui Rijul Pulikkal Raghu Raaj #AntimicrobialResistance #OneHealth #MicrobialWorld #GlobalHealth #ScienceCommunication #HealthCare #PublicHealth"	24	0	7	474	"1,256"	40.21	37.74	129	Carousel	0
"HaystackAnalytics
Feb 06, 15:08"	06-02-2026	15:08	"Shaping the future of newborn screening through research. Join us for an expert-led webinar centered on the GUARDIAN Project, a research initiative contributing to work around advancements in newborn screening and early-life genetic research.| The session will be led by Dr. Wendy Chung, whose work has played a pivotal role in advancing how genetic research informs pediatric care. The discussion will explore how research-driven screening efforts are shaping evolving perspectives in newborn health. Moderated by: Aparna Bhanushali, Director, Medical genetics, HaystackAnalytics Date: 19th February 2026 Time: 5:00 PM IST | 6:30 AM EST ?? Register now to be part of this important scientific dialogue. https://lnkd.in/de4ceU4J Abhimanyuu Nambisan Pranav Godse Shuja A. Rohan S SALVI siddharth sasane Vivek Singh Rathore Mohammad Umair Dr. Nidhi G. Gitesh Srivastava Anupama Pradeepkumar Namith N Gopal Singh Rijul Pulikkal Raghu Raaj Dr Koyel Ghosh Yasmeen Kauser Shalabh Saxena #Webinar #Pediatrics #Genomics #HealthCare #Diagnostics #Genetics #PublicHealth"	33	0	1	54	"1,638"	5.37	3.3	130	Static	0
"HaystackAnalytics
Feb 07, 10:29"	07-02-2026	10:29	"Advancing clinical decision-making through genomics. At RTM, Genesis Hospital , Dr Koyel Ghosh, Medical Science Liaison and the team shared insights on the expanding role of advanced NGS solutions—spanning across infectious disease diagnostics to early genetic screening for newborn screening and cardiac conditions to enable proactive, preventive care. The integration of genomics into routine clinical practice is paving the way for more informed, timely, and personalized healthcare decisions. Abhimanyuu Nambisan Vivek Singh Rathore Mohammad Umair Dr. Nidhi G. Inder Rawat #HealthCare #PublicHealth #NGS #InfectiousDiseaseDiagnostics #NewbornScreening #CardiacGenetics #PrecisionDiagnostics #RTM"	4	0	0	14	571	3.15	2.45	131	Static	0
"HaystackAnalytics
Feb 07, 11:31"	07-02-2026	11:31	"Elevating infectious disease diagnostics through NGS ?? Dr Vijay Kulkarni delivered an impactful session demonstrating how NGS-based solutions are reshaping infectious disease diagnostics—driving faster insights, smarter clinical decisions, and improved patient outcomes. From sharp questions to collaborative discussions, the session showcased how advanced genomics is translating from innovation into real-world clinical impact. Abhimanyuu Nambisan Rohan S SALVI Shuja A. Shailaja Patil #CME #NGS #InfectiousDiseaseDiagnostics #GenomicMedicine #ClinicalInnovation #PrecisionDiagnostics #HealthCare #PublicHealth"	2	0	0	14	555	2.88	2.52	132	Static	0
"HaystackAnalytics
Feb 07, 12:45"	07-02-2026	12:45	"TB symptoms. Different pathogen. Some TB-like infections are actually non-tuberculous mycobacteria (NTM), often missed, often misdiagnosed. Accurate identification changes treatment. infexn®-NGS helps detect and differentiate TB vs NTM at the genomic level for precise diagnosis. Swipe to learn the difference. Abhimanyuu Nambisan Pranav Godse Shuja A. Rohan S SALVI siddharth sasane Gitesh Srivastava Mohammad Umair Vivek Singh Rathore Rijul Pulikkal Raghu Raaj #HealthCare #PublicHealth #Diagnostics #Genomics #NTM #NontuberculousMycobacteria #TB #Tuberculosis #MDRTB"	11	0	1	306	744	42.74	41.13	133	Carousel	0
"HaystackAnalytics
Feb 07, 14:01"	07-02-2026	14:01	"When physical traits point to deeper genetic risks.  Marfan syndrome is an inherited connective tissue disorder that can affect multiple organ systems, particularly the heart and blood vessels. The condition often remains clinically silent until progressive cardiovascular complications appear. Many cardiac conditions, including Marfan syndrome, have a genetic basis, where inherited factors can gradually weaken the heart and blood vessels without early warning signs. Early genetic screening with DGx Cardio Screening enables timely diagnosis, supports proactive monitoring, and guides long-term clinical management, significantly reducing the risk of life-threatening events. Abhimanyuu Nambisan Pranav Godse Rohan S SALVI Shuja A. siddharth sasane Mohammad Umair Vivek Singh Rathore masoom siddiqui Gitesh Srivastava Rijul Pulikkal Raghu Raaj #MarfanSyndrome #HealthCare #PublicHealth #Cardiology #EarlyDiagnosis #PrecisionDiagnostics #Genomics #GeneticTesting"	8	0	0	265	757	36.06	35.01	134	Carousel	0
"HaystackAnalytics
Feb 09, 14:25"	09-02-2026	14:25	"We’re not just working with next-generation sequencing—we’re enabling the next generation of healthcare impact. In The Hindu, Dr. Anirvan Chatterjee shares how HaystackAnalytics is leveraging AI-enabled technology to translate genomics into fast, affordable, and actionable insights for infectious disease care—bringing precision diagnostics closer to patients and practitioners alike. Abhimanyuu Nambisan Shuja A. Rohan S SALVI Mohammad Umair Gitesh Srivastava Rijul Pulikkal Raghu Raaj Ananya Ganapathy #Diagnostics #Genomics #InfectiousDiseases #PrecisionMedicine #AIinHealthcare"	41	1	5	98	"1,479"	9.8	6.63	135	Static	0
"HaystackAnalytics
Feb 10, 13:30"	10-02-2026	13:30	"From screening to clinical decision-making, genetics is shaping stronger prenatal care. ?? At the CME with Society of Fetal Medicine (SFM), Jammu , Ms. Adrija Mishra, Senior Genetic Counsellor at HaystackAnalytics, led an insightful discussion on prenatal genetic testing—highlighting key screening and diagnostic modalities, including the role of NIPT, in supporting informed clinical decisions and advancing maternal– fetal care. With meaningful on-ground engagement and collaborative expertise from the identifi sales team, the session showcased how integrated clinical insights and support can drive real impact in prenatal genetics. Wajid Zahoor Bhat Abhimanyuu Nambisan Inder Rawat #CME #PrenatalGenetics #NIPT #Healthcare #PublicHealth #GenomicMedicine #PrecisionHealthcare #HaystackAnalytics #identifi"	36	3	0	367	"1,187"	34.2	30.92	136	Carousel	0
"HaystackAnalytics
Feb 10, 13:36"	10-02-2026	13:36	"From accurate detection to timely intervention, precision diagnostics are transforming respiratory care. At RTM, Delhi Heart and Lung Institute, Dr Koyel Ghosh highlighted the clinical use of infexn NGS and FLU-NGS for the accurate detection of upper and lower respiratory infections, emphasizing their role in supporting timely clinical decisions and improved patient management. #RTM #RespiratoryInfections #PrecisionDiagnostics #Healthcare #PublicHealth #infexn #FLUNGS Abhimanyuu Nambisan Inder Rawat Mohammad Umair Vivek Singh Rathore"	6	0	0	4	381	2.62	1.05	137	Static	0
"HaystackAnalytics
Feb 11, 07:34"	11-02-2026	07:34	"Heart attack and heart failure are frequently confused — but they represent distinct clinical conditions. A heart attack is an acute event caused by sudden interruption of blood flow to the heart muscle. Heart failure, in contrast, is typically a progressive syndrome in which the heart gradually loses its ability to pump or fill efficiently. In its early stages, heart failure may not present dramatically. Symptoms such as breathlessness on exertion, fatigue, or reduced exercise tolerance are often normalized — attributed to stress, lifestyle, or ageing rather than underlying cardiac dysfunction. For individuals with inherited cardiac predispositions, genetic insights can add another layer to risk assessment. Advanced solutions like DGx Cardio Screening support early risk stratification and informed monitoring for proactive care. This Heart Awareness Week, the focus should extend beyond acute events to recognizing silent progression and identifying risk earlier. Abhimanyuu Nambisan Pranav Godse Shuja A. Rohan S SALVI siddharth sasane Vivek Singh Rathore Mohammad Umair masoom siddiqui Gitesh Srivastava Raghu Raaj Rijul Pulikkal #HeartAwarenessWeek #HeartFailureAwareness #Cardiology #HealthCare #PublicHealth #PreventiveScreening #GeneticRisk #DGxCardio #HealthcareInnovation"	11	0	4	262	775	35.74	33.81	138	Carousel	0
"HaystackAnalytics
Feb 12, 13:03"	12-02-2026	13:03	"Just 1 week to go. Our upcoming webinar, “Redefining Newborn Screening with Genomics,” will spotlight the GUARDIAN study and ongoing research conversations shaping perspectives in newborn screening and early-life genetics. Featuring insights from Dr. Wendy Chung, the session will explore how research-driven approaches continue to inform the future of newborn health. ?? 19th February 2026 ? 5:00 PM IST | 6:30 AM EST ?? Register to join the discussion. https://lnkd.in/de4ceU4J Abhimanyuu Nambisan Pranav Godse Shuja A. Rohan S SALVI siddharth sasane Vivek Singh Rathore Mohammad Umair Gitesh Srivastava Namith N Anupama Pradeepkumar Dr Koyel Ghosh Yasmeen Kauser Dr.R D PONMUDI Pharm.D Koushik Koujalagi Rijul Pulikkal Raghu Raaj #NewbornScreening #Genomics #PediatricResearch #GuardianStudy #MedicalGenetics #HealthcareWebinar #EarlyDetection"	13	0	1	9	451	5.1	2	139	Static	0
"HaystackAnalytics
Feb 12, 14:19"	12-02-2026	14:19	"Advancing infectious disease diagnostics through meaningful clinical exchange. ?? At the Round Table Meet at KMCT Medical College, Dr. Nithin shared insightful perspectives on how NGS-based approaches are enhancing diagnostic precision, reducing turnaround time, and enabling more data-driven clinical decisions. The session also spotlighted the clinical value of infexn® NGS, FLU- NGS, and FEVER- NGS in strengthening precision-led patient care. Abhimanyuu Nambisan Nithin K Rijul Pulikkal #RTM #InfectiousDiseaseDiagnostics #NGS #PrecisionDiagnostics #ClinicalMicrobiology #InfexnNGS #FLUNGS #FeverNGS #HaystackAnalytics #HealthCare #PublicHealth"	7	0	1	5	291	4.47	1.72	140	Static	0
"HaystackAnalyticsFeb 13, 13:43"	13-02-2026	13:43	"Learn from an expert in pediatric genomics. Join our upcoming webinar featuring Dr.Wendy Chung, Chief of Pediatrics at Boston Children’s Hospital, as she shares expert insights from the GUARDIAN Study and discusses how genomics is redefining newborn screening and early clinical care. Date: 19 February 2026 Time: 5:00 PM IST | 6:30 AM EST Register here: https://lnkd.in/de4ceU4J Don’t miss this opportunity to hear directly from an expert shaping the future of newborn health. Abhimanyuu Nambisan Ranjan K. Pranav Godse Rohan S SALVI siddharth sasane Gitesh Srivastava Anupama Pradeepkumar Mohammad Umair Vivek Singh Rathore Rijul Pulikkal Raghu Raaj #PublicHealth #HealthCare #Webinar #Genomics #Pediatrics #NGS"	6	0	3	13	650	3.38	2	141	Static	0
"HaystackAnalytics
Feb 13, 14:30"	13-02-2026	14:30	"Ever wondered where antibiotic resistance really grows when no one is watching? It’s not just hospitals or clinics. Vast microbial ecosystems quietly shape the future of antimicrobial resistance — selecting, sharing, and spreading resistance genes in ways most people never consider. This hidden cycle links environment, microbes, and human health more closely than we think. Swipe through to uncover how resistance develops beyond clinical spaces and why understanding these pathways is critical for the future of global health. Abhimanyuu Nambisan Shuja A. siddharth sasane Rohan S SALVI Pranav Godse Mohammad Umair Vivek Singh Rathore Gitesh Srivastava Rijul Pulikkal Raghu Raaj #AntimicrobialResistance #AMR #OneHealth #MicrobialEcology #PublicHealth #GlobalHealth #InfectionControl #Biotech #Healthcare"	10	0	2	315	"1,121"	29.17	28.1	142	Carousel	0
"HaystackAnalytics
Feb 14, 08:40"	14-02-2026	08:40	"Only 5 days to go. Join our upcoming webinar on “GUARDIAN: The New Newborn Screening” — an expert conversation on how genomics is reshaping early detection in newborn care. Featuring speaker Dr.Wendy Chung, Chief of Pediatrics at Boston Children’s Hospital, in discussion with moderator Dr. Aparna Bhanushali, Director of Medical Genetics at HaystackAnalytics. 19 February 2026 | 5 PM IST ?? Register here: https://lnkd.in/de4ceU4J Be part of the dialogue shaping the future of newborn health. Abhimanyuu Nambisan Gitesh Srivastava Pranav Godse Mohammad Umair Vivek Singh Rathore Rijul Pulikkal Raghu Raaj #Webinar #HealthCare #Genomics #Pediatrics #NGS #PublicHealth"	15	0	3	20	948	4.01	2.11	143	Static	0
"HaystackAnalytics
Feb 14, 11:19"	14-02-2026	11:19	"Is it just a delay or something more ? Spinal Muscular Atrophy (SMA) is a genetic neuromuscular disorder that affects movement, breathing, and early development — often before symptoms are clearly recognized. Because SMA is driven by changes in the ??????1 gene, early genetic screening plays a critical role. It enables timely intervention, informed clinical decisions, and proactive care for better long-term outcomes. Abhimanyuu Nambisan Shuja A. siddharth sasane Rohan S SALVI Gitesh Srivastava Rijul Pulikkal Raghu Raaj Vivek Singh Rathore Mohammad Umair Pranav Godse #GeneticTesting #Genomics #PediatricCare #EarlyDiagnosis #RareDisease #identifi #HealthCare #PublicHealth"	11	0	2	183	736	26.63	24.86	144	Carousel	0
"HaystackAnalytics
Feb 14, 12:01"	14-02-2026	12:01	"Real-world learning meets real-world impact. At RTM held at Aster Adhar Hospital, Dr Vijay Kulkarni shared practical insights into how NGS is reshaping infectious disease diagnostics — helping clinicians move toward faster, more informed decisions. Conversations like these bridge science and practice, strengthening how we approach patient care through innovation. Abhimanyuu Nambisan Rohan S SALVI #NGS #InfectiousDiseaseDiagnostics #ClinicalMicrobiology #PublicHealth #HealthCare"	2	0	0	23	743	3.36	3.1	145	Static	0
"HaystackAnalytics
Feb 14, 13:19"	14-02-2026	13:19	"RTM | Medicover Hospital, Bangalore At a recent RTM session, clinicians and genomics experts came together to explore how next-generation sequencing is reshaping infectious disease management and enabling more proactive approaches to human health screening. The discussions led by Dr.R D PONMUDI Pharm.D and Dr. Koushik Koujalagi highlighted a shared commitment to translating precision genomics into meaningful clinical action — where faster insights support smarter decisions and better patient outcomes. Abhimanyuu Nambisan Gitesh Srivastava Namith N"	20	0	2	204	"1,339"	16.88	15.24	146	Carousel	0
"HaystackAnalytics
Feb 16, 09:59"	16-02-2026	09:59	"The future of newborn screening is evolving — and genomics is leading the way. Join us for an expert-led webinar on “GUARDIAN: The New Newborn Screening”, where we explore how genomic insights are enabling earlier detection, informed clinical decisions, and better long-term outcomes in pediatric care. Hear from Dr. Wendy Chung, who will share clinical perspectives on advancing newborn screening, in conversation with Dr. Aparna Bhanushali, guiding the discussion toward real-world impact and future possibilities. Date: 19th February 2026 Time: 5:00 PM IST | 6:30 AM EST Register now and be part of the conversation shaping next-generation newborn care: https://lnkd.in/de4ceU4J Abhimanyuu Nambisan Ranjan K. Pranav Godse Mohammad Umair Vivek Singh Rathore Gitesh Srivastava #NewbornScreening #Genomics #PediatricCare #PrecisionMedicine #ClinicalInnovation"	6	0	0	5	589	1.87	0.85	147	Static	0
"HaystackAnalytics
Feb 16, 13:19"	16-02-2026	13:19	"Acing infectious disease diagnosis using NGS ?? Dr Koyel Ghosh, Medical Science Liaison led an insightful RTM session, highlighting how infexn® NGS enables comprehensive pathogen detection—empowering clinicians with deeper insights for more informed and effective treatment decisions. Through meaningful clinical exchange and discussion, the session underscored the growing role of genomics in advancing precision-led infectious disease care. Abhimanyuu Nambisan Mohammad Umair Vivek Singh Rathore Inder Rawat Dr. Nidhi G. #RTM #NGS #InfectiousDiseases #Genomics #Healthcare #PublicHealth"	12	0	1	11	770	3.12	1.43	148	Static	0
